[39m[HikariPool-1:housekeeper][0;39m [2026-09-03  14-42-35-90] DEBUG com.zaxxer.hikari.pool.HikariPool  HikariPool-1 - Pool stats (total=10/10, idle=10/10, active=0, waiting=0)
[39m[HikariPool-1:housekeeper][0;39m [2026-09-03  14-42-35-91] DEBUG com.zaxxer.hikari.pool.HikariPool  HikariPool-1 - Fill pool skipped, pool has sufficient level or currently being filled.
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-35-96] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435755965; nextExpiration=1788435755953; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-36-97] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435756976; nextExpiration=1788435756965; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-37-98] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435757986; nextExpiration=1788435757976; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-38-99] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435758997; nextExpiration=1788435758986; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-40-00] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435760008; nextExpiration=1788435759997; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-41-01] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435761019; nextExpiration=1788435761008; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-42-03] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435762030; nextExpiration=1788435762019; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-43-04] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435763040; nextExpiration=1788435763030; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-44-05] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435764050; nextExpiration=1788435764040; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-45-06] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435765064; nextExpiration=1788435765050; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-46-06] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435766067; nextExpiration=1788435766064; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-47-08] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435767081; nextExpiration=1788435767067; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-48-09] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435768094; nextExpiration=1788435768081; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-49-10] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435769101; nextExpiration=1788435769094; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-50-11] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435770114; nextExpiration=1788435770101; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-51-12] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435771122; nextExpiration=1788435771114; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-52-13] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435772137; nextExpiration=1788435772122; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-53-15] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435773150; nextExpiration=1788435773137; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-54-16] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435774162; nextExpiration=1788435774150; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-55-17] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435775170; nextExpiration=1788435775162; keyCount=0; hasEvents=false; eval=false
[39m[http-nio-8088-Poller][0;39m [2026-09-03  14-42-56-18] DEBUG o.apache.tomcat.util.net.NioEndpoint  timeout completed: keys processed=0; now=1788435776184; nextExpiration=1788435776170; keyCount=0; hasEvents=false; eval=false
